 Was ist der so genannte „Hawaii-Typ“?;Ein Vulkantyp (auch Schildvulkan genannt) der besonders für Vulkane auf Hawaii typisch ist.;
Was ist eine Fingerbeere?;Die menschlichen Fingerkuppenvorderseiten heißen Fingerbeeren. (Damit gibt man z.B. seine Fingerabdrücke ab);
Was ist eine Fitness-Schnecke?;Ein Fitnessgerät.;
Was ist eine Flachlegeeinrichtung?;Eine Flachlegeeinrichtung findet man bei der Produktion von Plastiktüten. Die Kunststoffmasse wird von unten mit Luft aufgeblasen und es bildet sich eine Art „Riesenplastikkondom“. Wird mehr Luft eingeblasen, wird die Wand dünner. Ist die gewünschte Dicke erreicht, wird die Masse abgekühlt und fest. Dann wird das „Riesenkondom“ in eine Walze befördert, die das Plastik flachlegt, sodass zwei Kunststoffbahnen zur Weiterverarbeitung entstehen. Der Teil der Walze, der die Plastikfolie flachlegt, ist die Flachlegeeinrichtung.;
Was ist eine Flottenkarte?;Bei der Flottenkarte handelt es sich um eine Kreditkarte, die nur an Tankstellen, und da nur an ausgewählten Tankstellen, benutzt werden kann, um für das Tanken zu zahlen. Diese Flottenkarte wird meist den Fahrern der Fuhrparkflotte von Unternehmen zum Tanken gegeben.;
Was ist eine Fressbremse?;Eine Art Maulkorb für Pferde. (Pferde die auf einer Weide grasen neigen dazu mehr zu fressen als für sie gut ist.) Durch die kleine Öffnung in diesem Maulkorb können die Pferde trinken, aber nur sehr wenig fressen.;
Was ist eine Fressmütze?;Die Fressmütze ist eine stirnbandartige Mütze, die einem Hund mit langen Ohren beim Fressen übergezogen wird, damit die Ohren nicht in den Fressnapf hängen.;
Was ist eine Fresstäuschung?;Der Seehase ist eine Meeresschnecke, die beim Angriff von Fressfeinden eine Tintenwolke ausstößt. Die Tintenwolke enthält eine milchige Flüssigkeit, die Stoffe enthält, die der Fressfeind für Futter hält. Diese Stoffe halten den Feind vor dem Fressen ab. Es wird hierbei Fressen vorgetäuscht, weswegen man von Fresstäuschung spricht.;
Was ist eine Froschtasche?;Eine Einstecktasche für lose Blätter in Notizbüchern.;
Was ist eine Fruchtlosigkeitsbescheinigung?;Wird von einem Gerichtsvollzieher ausgestellt, wenn die Zwangsvollstreckung bei einem Gläubiger (Schuldner) erfolglos (fruchtlos) geblieben ist.;
Was ist eine Fruchtmumie?;Wenn ein Baum von einem bestimmten Pilz befallen ist, vertrocknen die Früchte am Baum und sehen aus wie Mumien.;
Was ist eine Gefühlsschraube?;Gefühlsschraube ist ein Teil eines Messinstrumentes, wie es z. B. beim Maschinenbau benutzt wird, welches bis auf 100stell Millimeter genau messen kann. Es handelt sich um eine Art Zwinge, mit der die Dicke eines Gegenstandes gemessen werden kann. Die Zwinge wird an der Gefühlsschraube zugedreht. Irgendwann dreht die Schraube dann durch, da sie den Widerstand „fühlt“ und somit im richtigen Moment nicht mehr weiter zugeht, um die Dicke abzulesen. Die Schraube, an der die Zwinge zugedreht wird, wird Gefühlsschraube genannt.;
Was ist eine Geisterschicht?;"In Autofabriken werden manche Produktionsabschnitte komplett von Robotern erledigt. Die Arbeit wird also ""von Geisterhand"" erledigt.";
Was ist eine Geisterzeichnung?;Wenn bei einer sonst einfärbigen Katze bei bestimmten Lichtverhältnissen eine Zeichnung (Streifen) zu sehen sind. Diese Streifen sind je nach Lichtverhältnis also mal zu sehen und mal nicht und heißen deshalb  „Geisterzeichnung“.;
Was ist eine Gelenkmaus?;Ein freibewegliches Knorpel- oder Knochenstück in einem Gelenk.;
Was ist eine Gelenktoilette?;Begriff aus der Medizin. Die operative Reinigung (mit Kochsalzlösung) eines Gelenks;
Was ist eine Glückshaube?;Wenn die Fruchtblase bei der Geburt nicht platzt, wird sie aufgestochen, damit das Baby nicht erstickt. Manchmal bleibt ein Teil der Blase als Haube am Kopf hängen. Im Mittelalter wurden solche Babys als Glückskinder bezeichnet.;
Was ist eine Grundbirne?;Eine regionale Bezeichnung für die Kartoffel.;
Was ist eine Gurtpfeife?;Rollläden die händisch betrieben werden haben ein Gurtband an dem man ziehen muss. Dort wo der Gurt aus dem Rollladenkasten oben kommt, befindet sich ein Plastikteil das den Rollladengurt führt und aufwickelt. Dieses Plastikteil sieht aus wie eine große Trillerpfeife und heißt deshalb Gurtpfeife.;
Was ist eine Haarharfe?;Eine Haarharfe hat jeder Meteorologe. Mit ihr wird die Temperatur gemessen. Sie besteht aus einem Kasten, in dem ein Haar gespannt ist. In diesem Kasten dreht sich eine Rolle, auf der sich eine Tabelle befindet. An beiden Haarenden ist je ein Schreibarm. Je nachdem, wie sich das Haar dehnt oder zusammenzieht, übertragen es die Schreibarme auf die Rolle und die Temperatur wird auf der Tabelle genau festgehalten.;
Was ist eine Hagelschnur?;Ein Teil des Eies.;
Was ist eine Händescheidung?;Um herauszufinden ob ein Bild komplett aus der Hand eines Meisters (Rembrand, Michelangelo,…) stammt oder ob nicht Teile des Bildes von einem Gesellen gemalt wurden, untersucht ein Experte jeden Zentimeter eines Bildes. Die Hand des Meisters wird also von der Hand Anderer geschieden, deshalb heißt diese Überprüfung „Händescheidung“.;
Was ist eine Handeule?;Ein Handfeger.;
Was ist eine Handschuh-Ehe?;Der Begriff Handschuh-Ehe geht zurück auf die früher übliche Überreichung eines Handschuhs als Sinnzeichen für eine Botenbeauftragung. Eine Handschuh-Ehe ist eine Eheschließung, bei der einer der Brautleute nicht persönlich anwesend ist. Ein Stellvertreter gibt im Namen des abwesenden Partners dann das Ja-Wort.;
Was ist eine harte Öffnung?;Wenn ein Fallschirmspringer die Reißleine zieht, dauert es normaler Weise 3 Sekunden, um von 200 km/h auf 20 km/h abgebremst zu erden. Wenn der Fallschirm nicht richtig zusammengelegt war oder bei Luftwirbelungen, öffnet er sich innerhalb von 1,5 Sekunden.;
Was ist eine Hausfrauenrallye?;Die letzte „Hausfrauenrallye“ fand im Jahr 2000 statt. In diesem Jahr herrschte an der Börse die Interneteuphorie. Die Kurse schossen nach oben und erlebten laut Börsenjargon eine „Rallye“. In dieser Zeit investierten auch Leute ihr Geld in Aktien, die sonst nichts mit der Börse am Hut haben, zum Beispiel auch Hausfrauen. Deshalb spricht man dann an der Börse von einer Hausfrauenrallye.;
Was ist eine Helferschere?;Die Helferschere ist also eine Schere, die hinter den eigentlichen zwei Griffen je noch einen Griff besitzt, sodass das Kind in die vorderen zwei Griffe hineinlangen kann und der Erwachsene in die hinteren zwei Griffe. So kann der Erwachsene dem Kind beim Schneiden helfen, daher Helferschere.;
Was ist eine Hohlhippe?;Es ist das Röllche Gebäck, dass man zum Eis serviert bekommt.;
Was ist eine Hohlzunge?;Eine Orchidee. (Ihre farbige Blüte streckt sich wie eine Zunge nach außen und im hinteren Bereich dieser „Zunge“ ist ein kleiner Hohlraum);
Was ist eine Horizontbrille?;Eine Brille die gegen Seekrankheit helfen soll. Die Gläser der Horizontbrille sind mit einer Flüssigkeit gefüllt, in der sich ein schwarzer Balken befindet, der sich immer waagrecht ausrichtet und so für den Träger der Brille einen künstlichen Horizont erzeugt, der nicht, wie der echte Horizont der vom Schiff aus zu sehen wäre, schwankt.;
Was ist eine Hosenboje?;Ein Hilfsmittel aus der Seenotrettung. War bis vor 70 Jahren auch vor deutschen Küsten noch bekannt. Geriet ein Schiff in Seenot wurde vom Land aus mit einem Leinenschussgerät eine Rettungsleine auf das Schiff geschossen und straff gespannt. Daran wurde ein Rettungsring mit direkt eingearbeiteten, unten geschlossenen Hosenbeinen eingeklinkt. Mit dieser Hosenboje wurden die Menschen dann über die Rettungsleine vom Schiff ans Land geholt.;
Was ist eine Hosenscharte?;Eine Schießscharte die aus zwei Schartenröhren mit einer gemeinsamen Mündung besteht. (wie eine Hose);
Was ist eine Hungergrube?;Eine Gruppe zwischen Becken und Rippen bei Pferden oder Rindern, die entstehen wenn die Tiere zu wenig fressen.;
Was ist eine Hungerleuchte?;Ein ironischer Ausdruck für das Leuchtschild auf Taxidächern?;
Was ist eine HUPF-HOSE?;HUPF = Herstellungs- und Prüfbeschreibung für Feuerwehrschutzkleidung. Nach diesen Vorschriften werden Jacken und Hosen hergestellt, die in brennenden Gebäuden optimalen Schutz gewährleisten. Eine Hose die diesen Maßstäben entspricht heißt HUPF-Hose.;
Was ist eine Hustenplatte?;Eine früher übliche und auch heute noch gebräuchliche Art Keuchhusten nachzuweisen: eine flache Scheibe (Platte) wird mit einer speziellen Flüssigkeit bestrichen, auf der Keuchhustenerreger gedeihen können. Der Patient hustet auf die Platte (deshalb auch Hustenplatte). Danach kommt sie in einen Brutkasten und durch die Wärme vermehren sich die Erreger sehr schnell und sind unter dem Mikroskop sichtbar.;
Was ist eine Inselhaube?;Eine Dunstabzugshaube die nicht an der Wand, sondern in der Mitte des Raumes hängt.;
Was ist eine Inselprobe?;Die Inselprobe ist ein einfacher Qualitätstest für guten Espresso. Man gibt Zucker in den Espresso und dann sollte sich eine Zuckerinsel bilden, die erst allmählich untergeht. Geht der Zucker zu schnell unter, hat der Espresso zu wenig Crema.;
Was ist eine intime Mischung?;Begriff aus der Textilindustrie: Die Fasern von verschiedenen Fäden (also die Fäden selbst) bestehen aus verschiedenen Materialien. Im Gegensatz zur Systemmischung, wobei Fäden aus verschiedenen Materialien verarbeitet werden.;
Was ist eine Jagdkotze?;Das ist ein Kleidungsstück. Wenn man in einem Geschäft für Trachten und Jägerbekleidung nach einer „Jagdkotze“ fragt, bringt der Verkäufer einen dreiviertel langen, mantelähnlichen Umhang, meist in dunkelgrün.;
Was ist eine Joggingkugel?;Eine Plastikkugel in die ein Hamster gesteckt wird damit er „joggen“ muss. Von Tierschützern kritisiert weil der Hamster keine Wahl hat ob er laufen will oder nicht, er kann nichts anderes tun bis er wieder herausgelassen wird.;
Was ist eine Jugendflamme?;Das Seepferdchen für junge Feuerwehrleute. Dieses Abzeichen erhält der Feuerwehrnachwuchs nach Ablegung einer bestimmten Schwimmprüfung. Es gibt drei Schwierigkeitsgrade für Feuerwehrleute zwischen zehn und 18 Jahren. Auf den Abzeichen sieht man drei farbige Flammen und die Aufschrift „Jugendfeuerwehr“. Deshalb heißt dieses Abzeichen „Jugendflamme“.;
Was ist eine K.O.-Maus?;Eine Maus bei der ein bestimmtes Gen herausgefiltert wurde, um danach zu sehen für was es zuständig ist.;
Was ist eine Kampfbremse?;Ein Hebel an der Angel, damit man beim Fischen (=Kampf) die Schnurspannung regulieren kann, damit der Fisch nicht entkommt, beziehungsweise damit die Schnur nicht reißt.;
Was ist eine Kardinaltonne?;Als Kardinaltonnen bezeichnet man Bojen, die Untiefen anzeigen. Sie sind schwarz-gelb gestreift und markieren, wie Untiefen sicher umfahren werden müssen. „kardinalis“ ist lateinisch und bedeutet „wichtig“, da diese Bojen beachtet werden sollten und somit sehr wichtig sind.;
Was ist eine Kellerfalte?;Kellerfalte ist z. B. an manchen Röcken zu finden. Es handelt sich um eine Falte, die nach innen geht und durch eine Stofffalte, die nach außen geht, überdeckt wird.;
Was ist eine Kettenpeitsche?;Werkzeug für z.B. Fahrräder (sieht aus wie ein Schraubenschlüssel mit einem Stück Fahrradkette dran);
Was ist eine Kindermangel?;Ein Therapiegerät für Kinder mit Wahrnehmungsstörungen. (wenn sie nicht einschätzen können wo ihr Körper anfängt und endet oder bei Überempfindlichkeit gegen Berührungen wird es angewandt). Das Durchrollen zwischen den beiden Rollen dieser Mangel löst positive Reize aus, die die Wahrnehmung des eigenen Körpers verbessern.;
Was ist eine Klapprosette?;Eine Klapprosette findet man z. B. im Haushalt. Es handelt sich um eine Kunststoffverkleidung für Heizungsrohre. Diese Plastikrosette wird dort, wo die Leitungen der Heizung aus dem Boden oder der Wand kommen, über die Rohre geklappt. Das ist eine Klapprosette.;
Was ist eine Klatschtrommel?;Heringe fallen in der Fischfabrik nach dem Waschen vom Förderband in große Edelstahlbottiche der mit Gewürzlache gefüllt ist. Damit sich die Gewürzlache möglichst gut mit den Heringen vermischt drehen sich diese Bottiche im Kreis wie Waschmaschinentrommeln. Weil die Heringe vom Förderband in diese „Trommeln“ reinklatschen heißen diese Behälter Klatschtrommel.;
Was ist eine Kleckertüte?;Ein tütenförmiges Sandspielzeug (mit dem Sand gekleckert werden kann);
Was ist eine Klingelhose?;Eine spezielle Hose für Kinder die nicht merken, wenn sie nachts pinkeln müssen. Nach dem ersten Tropfen fängt die Hose an zu klingeln, sodass das Kind wach wird und aufs Klo gehen kann. (Dazu sind Feuchtigkeitssensoren in die Hose eingenäht.);
Was ist eine Klingelpuppe?;Klingelpuppen werden von Polizeibeamten zu Schulungs- und Vorführzwecken verwendet um zu zeigen wie raffiniert und geschickt Taschendiebe vorgehen. Eine mit Jacke, Hose und Tasche bekleidete Schaufensterpuppe wird mit vielen kleinen Glöckchen ausgestattet, die an der Puppe und den (Wert)gegenständen angebracht sind. Hört man bei einem versuchten Diebstahl kein Klingeln wäre der Diebstahl erfolgreich gewesen.;
Was ist eine Knebelmutter?;Eine Knebelmutter ist ein Werkzeug, mit dessen Hilfe durch einfaches Drehen des Knebels Muttern zugedreht werden können. Eine Knebelmutter ist meist aus Eisen und besteht aus einem senkrechten runden Stab, der dann auf die Mutter gesetzt wird und einem waagerechten Stab (am oberen Ende des senkrechten Stabes), der dann gedreht wird und so wird die Mutter festgedreht. Der obere senkrechte Stab kann in dem waagerechten Stab beliebig zu den Seiten nach außen verschoben werden.;
Was ist eine Knebelmutter?;Eine Mutter die mit Hilfe eines Stabes zugezogen (geknebelt) wird.;
Was ist eine Knochenfalle?;Wenn der Zahnarzt ein Implantat macht, muss er ein Loch bohren. Dabei hat der Patient einen speziellen Absauger im Mund. Dieser Absauger hat einen Filter in dem kleinste Knochensplitter hängen bleiben. So können diese Knochensplitter später eventuell zum Auffüllen des Loches wieder verwendet werden können. Weil die Knochensplitter wie in einer Falle im Absauggerät hängen bleiben heißt das Knochenfalle.;
Was ist eine Knochenglatze?;Zum Schutz der Gelenke sind Knochen mit Knorpel überzogen. Wenn sich dieser Knorpel bei stark überbeanspruchten Gelenken zurückbildet, so dass die Knochenköpfe freiliegen und man sie direkt sehen kann spricht man von einer Knochenglatze.;
Was ist eine Knödellinie?;Eine Linie auf Bauplänen die so aussieht –●-●-●-●- (eine von Punkten/Knödeln durchbrochenen Linie). Diese Linie trennt Flächen mit unterschiedlicher Nutzung.;
Was ist eine Knüppelstraße?;“Straßen“ nennt man in einem Stahlwerk die fertigungstechnischen Stationen die die extrem heißen und riesigen Stahlblöcke zur Weiterverarbeitung durchlaufen. Wenn auf so einer Straße aus den Stahlblöcken lange Stangen gewalzt und geschliffen werden spricht man von einer „Knüppelstraße“, weil diese Stangen wie große Knüppel aussehen.;
Was ist eine Konzertzeichnung?;Abgeleitet aus dem lateinischen: concertare = wetteifern, konkurrieren. Zeichnen von stark gefragten Aktien bei mehreren Banken, um möglichst sein Mindestbestand zu erhalten.;
Was ist eine Kopfrücknahme?;Bei Zahnrädern wird der obere Teil Kopf genannt. Bei neuen Zahnrädern ist es öfters laut, wenn sie ineinandergreifen. Um diese Bewegung geräuschärmer zu machen, schleift man den oberen Teil des Zahnrades, den Kopf, etwas ab und rundet ihn somit ab. Der Experte sagt dazu: „der Kopf wird zurückgenommen“, da er abgeschliffen wird, um die Geräusche beim Ineinandergreifen zu verhindern. Das bezeichnet man als die Kopfrücknahme.;
Was ist eine Kopf-Schwanz-Verknüpfung?;Nennt man eine bestimmte Molekülverbindung. Manche Moleküle sind an der Kopfseite mit einer Art Nippel ausgestattet, an der Schwanzseite mit einem passenden Loch. Steckt man diese ineinander kommt es zu den genannten Kopf-Schwanz-Verknüpfungen. Zum Beispiel haben Aminosäuren eine ganze Kette von Verknüpfungen.;
Was ist eine Kopfspinne?;Viele Atemschutzmasken haben eine Kopfspinne.Es handelt sich dabei um eine spezielle Befestigung der Maske am Kopf. (Von hinten sehen die Gummibänder zur Befestigung aus wie Spinnenbeine, die sich am Hinterkopf treffen.);
Was ist eine Kopulierhippe?;Ein Messer um Bäume oder Sträucher zu veredeln.;
Was ist eine Krankenschwesteruhr?;Krankenschwestern dürfen im Krankenhausbetrieb aus hygienischen Gründen keine Uhren am Handgelenk tragen. Zum Pulsmessen brauchen sie aber eine Uhr. Deshalb haben sie eine Uhr, die so am Kittel angebracht wird, dass sie von oben drauf schauen können.;
Was ist eine Krause-Glucke?;Ein Speisepilz;
Was ist eine Kreiseltochter?;Der so genannte Kreiselkompass der auf größeren Schiffen verwendet wird befindet sich meist im Inneren des Schiffes. Dieser Kreiselkompass heißt auch „Mutterkompass“, denn damit man auch an anderen Stellen am Schiff die Koordinaten dieses Mutterkompasses auswerten kann gibt es eigene Anzeigeinstrumente. Dieses sind über Datenleitungen mit der Kreiselmutter verbunden. Ein solches zusätzliches Anzeigegerät heißt deshalb Kreiseltochter.;
Was ist eine Kreuzbruchrille?;Rillen bei Tabletten, die man in 4 Teile teilen muss.;
Was ist eine Kriechprobe?;Ein Test mit dem nachgewiesen wird, ob eine Flüssigkeit Fluorid enthält. Ob der Test positiv ausfällt erkennt man daran, dass an der Innenwand des Reagenzglases Gasbläschen in dieser Flüssigkeit hoch kriechen.;
Was ist eine Kronenansprache?;Wenn sich ein Förster die Baumkronen der Bäume anschaut und sich so ein Bild über den Gesundheitszustand macht.;
Was ist eine Kuhbombe?;Ein Spray das gegen Ungeziefer (Kakerlaken) in Ställen entwickelt wurde. Bei Ställen dachte man zuerst an Kuhställe und weil das Spray gegen das Ungeziefer „wie eine Bombe“ wirkt heißt es „Kuhbombe“.;
Was ist eine Kussperle?;Beim professionellen Bogenschießen gibt es eine platte Perle an der Sehne des Bogens, damit der Schütze erkennen kann wie weit er die Sehne zurückziehen muss, um optimal zu treffen. Diese Perle wird dabei mit dem Mund berührt, deswegen heißt sie Kussperle.;
Was ist eine Laffe?;Als Laffe bezeichnet man den vorderen Teil eines Löffels.;
Was ist eine Lanzenrosette?;Eine Lanzenrosette ist eine Zimmerpflanze. Genauer gesagt ein Ananasgewächs mit rosettenmäßig angeordneten Blättern- die Blüte wächst senkrecht – wie eine Lanze aus diesen Blättern heraus.;
Was ist eine Lappenplastik?;Ein eigener Hautlappen, der an eine andere Stelle transplantiert wird. Plastique, frz. = formbar, gestaltbar.;
Was ist eine Lappenprobe?;Begriff aus der Lebensmittelindustrie: Test von Marmelade, ob diese fertig gekocht ist. Die Marmelade ist fertig, wenn sie so zähflüssig ist, das sie lappenförmig heruntertropft und immer wieder abreißt.;
Was ist eine Leckrechnung?;Überlebenswahrscheinlichkeitsrechnung für Schiffe: Wie viele Lecks kann ein Schiff aushalten, bevor ein Schiff sinkt.;
Was ist eine Leselatte?;Eine Leselatte findet man in Kindergärten, Schulen und Bibliotheken. Es ist eine Latte, auf der die Körpergröße des Kindes gemessen werden kann. Neben den Zentimeterangaben steht die Information für Eltern, was Kinder in dieser Größe, also diesem Alter, lesen sollten. Das ist die Leselatte.;
Was ist eine Lichtwange?;Die Seitenteile (nicht das Geländer) einer Innentreppe heißen Wange. Die Seite die das Licht zuerst erreicht heißt Lichtwange, die andere, die im Dunkeln an der Wand liegt heißt Wandwange.;
Was ist eine Liebesbrücke?;Für Doppelbetten mit zwei Matratzen anstatt einer großen gibt es eine „Schaumstoffwurst“, die zwischen die Lücke der zwei Matratzen gestopft werden kann. Das ist die Liebesbrücke.;
Was ist eine Lippenhantel?;Mit der Lippenhantel trainiert ein Trompetenspieler seine Lippenspannung. Es handelt sich dabei um einen kleineren Körper aus Eisen. Der Körper besteht aus einem Stab, um dessen untere Hälfte Ringe angebracht sind, welche nach unten kleiner werden, sodass es wie ein auf dem Kopf stehender Kegel aussieht. Der Trompeter beugt sich nach vorn, spitzt den Mund und versucht nur mit seinen Lippen dieses Gewicht zu heben und trainiert so seine Lippenspannung. Gute Trompetenspieler schaffen es, das Gewicht länger als eine Minute zu halten.;
Was ist eine Lippenprobe?;Um herauszufinden ob flüssige Schokolade die richtige Temperatur hat um weiter verarbeitet zu werden (z.B. um Pralinen zu überziehen), wird meistens die Lippenprobe gemacht. Dazu wird ein Löffel in die Schokolade getaucht und dann an die Lippen gehalten. Mit der nötigen Erfahrung wird dann erfühlt, ob die Schokolade die richtige Temperatur (28-33 Grad) hat.;
Was ist eine Löcherwanderung?;Elektrotechnik: Man kann sich die Elektronen in einem Stromleiter als eine Kette von Perlen vorstellen, die aber an manchen Stellen keine Perle, also Löcher haben. Bei Stromfluss springt ein Elektron in ein Loch um den ungehinderten Stromfluss zu gewährleisten. An die dadurch frei gewordene Stelle (neues Loch) springt das nächste Elektron, usw. Das Loch wandert also bei Stromfluss immer weiter, das ist die so genannte Löcherwanderung.;
Was ist eine Lotusgeburt?;Eine Geburt, bei der die Nabelschnur nicht durchgeschnitten wird.;
Was ist eine Luderhütte?;Als „Luder“ bezeichnet man in der Jägersprache tote Tiere, mit denen man Raubwild und Raubzeug ködert. Die „Luderhütte“ ist ein hüttenähnlicher Holzverschlag, in dem sich der Jäger verschanzt und die so angelockte Beute schießt.;
Was ist eine Luftfalle?;Eine Luftfalle findet man in der Waschmaschine. Damit die Waschmaschine weiß, wann sie genug Wasser hat und mit dem Waschvorgang anfangen kann, gibt es die Luftfalle. Sie funktioniert wie ein umgedrehter Becher, in den von unten Wasser zuläuft. Die im Becher befindliche Luft wird nach oben gedrückt. Ist ein bestimmter Luftdruck erreicht, meldet das ein Sensor. Es ist genug Wasser in der Maschine und der Waschvorgang kann beginnen. Das nennt man Luftfalle.;
Was ist eine Lutscherpose?;„Pose“ = norddeutsch für Federkiel. Früher steckte auf dem Schwimmer eines Fischköders ein Federkiel damit man sah wo sich der Köder grade befand. Deshalb nennen Angler den Köder auch Pose. Manche Posen sehen aus wie flache, runde Lutscher und heißen deshalb „Lutscherpose“.;
Was ist eine Marderlatte?;Marder ist ein Panzer-Modell. Der Panzergrenadier geht mit dieser Latte in eine Bodenvertiefung und prüft, ob er in der Vertiefung aus dem Panzer heraus noch Sicht auf das Gelände hätte. Erst dann fährt er mit dem Panzer in diese Grube.;
Was ist eine Marionettenfalte?;Marionettenfalte ist ein Begriff aus der Gesichtschirurgie. Wenn die Mundwinkel herunterhängen, z. B. auf Grund des Alters, entstehen senkrechte Falten, wie z. B. bei Angela Merkel. Da diese Falten dem beweglichen Mund einer Marionette ähneln, nennt man sie Marionettenfalten.;
Was ist eine Marschgabel?;Ein Notenhalter, der an ein Blasinstrument geschraubt wird, damit während des Marschierens vom Blatt gespielt werden kann.;
Was ist eine Mäuseeinheit?;Die Menge eines Giftstoffes die ausreicht um eine 20 Gramm schwere Maus zu töten, ist eine so genannte Mäuseeinheit. Damit wird die Wirksamkeit eines Giftstoffes definiert.;
Was ist eine Meerjungfrauenhandstasche?;Eine Hülle, in der Hai-Babys aufwachsen.;
Was ist eine Metzgerglocke?;Ein glockenförmiges Gerät mit dem Metzger die Borsten von Schweinen abschaben. (Dazu ist der Rand dieser „Glocke“ extrem scharf so dass die Borsten beim Schaben in die „Glocke“ gelangen);
Was ist eine Miktion?;Eine Blasenentleerung;
Was ist eine Mirpzahl?;Eine Primzahl.;
Was ist eine Mittagsbeule?;Wenn der Benzinpreis mittags um 3 Cent angehoben wird, nennt man das eine Mittagsbeule.;
Was ist eine Mittagsdepression?;Pflanzen stellen zur Mittagszeit die Photosynthese ein, damit nicht mehr Wasser verdunstet, als sie durch den Boden wieder aufnehmen können. Sie lassen dann die Köpfe hängen.;
Was ist eine Moderationswolke?;Eine Moderationswolke ist ein wolkenförmiges, festes Stück Papier das von manchen Moderatoren von Seminaren verwendet wird um etwas darauf zu schreiben und diese Wolke dann auf eine Pinnwand zu hängen.;
Was ist eine Mundrolle?;Jeder Becher ist oben gebogen (sonst wäre er scharfkantig). Diese abgerundete „Rolle“ oben an jedem Becher heißt Mundrolle.;
Was ist eine Muskelhypothek?;Alles, was beim Bau der eigenen vier Wände allein durch Muskelkraft geschafft wurde, was also nicht durch die Bank finanziert wurde, nennt man Muskelhypothek. Also das Geld, das durch eigene Arbeit eingespart wurde, ist die Muskelhypothek.;
Was ist eine Nacktlaube?;Ein kleiner asiatischer Karpfenfisch.;
Was ist eine Nagelungsfigur?;Holzfiguren wurden auf öffentlichen Plätzen während des ersten Weltkrieges aufgestellt. Gegen einen Obolus konnten Nägel in die Figuren gehämmert werden. Diese Aktion diente dem Eintreiben von Geldern zugunsten von Kriegswaisen und –witwen.;
Was ist eine Napoleontasche?;Eine Außentasche an einer Winterjacke. (Dort wo Napoleon auf Bildern die Hand hingesteckt hat);
Was ist eine Nasenschleuder?;Um das Blut und Wundsekret bei einer Nasenoperation aufzusaugen wird ein kleines Kissen unterhalb der Nase angebracht und mit zwei Gummibändern hinter dem Ohr befestigt. Das ist die Nasenschleuder.;
Was ist eine Nikotinsperre?;In Zimmern, in denen geraucht wurde, schimmert mit der Zeit das Nikotin gelb an den Wänden. Wenn die Wand mit normaler Farbe wieder gestrichen wird, scheint das Nikotingelb wieder durch. Dagegen gibt es eine Spezialfarbe, die verhindert, dass das Nikotin durchscheint. Diese Farben nennt man Nikotinsperre.;
Was ist eine Niveaudose?;Eine Dose in der Waschmaschine, die dafür sorgt dass die Wasserzufuhr gestoppt wird wenn genug Wasser eingelaufen ist. Das eingelaufene Wasser drückt einen Schlauch zusammen, der Luft in die Dose drückt. Durch diesen Druck wird ein Mechanismus ausgelöst der die Wasserzufuhr stoppt. Diese Dose wirkt also erst, wenn das richtige Wasserniveau erreicht ist und heißt deshalb Niveaudose.;
Was ist eine Nuss-Korrektur?;Eine Operationsmethode in der Chirurgie, die von Donald Nuss entwickelt wurde um eine angeborene Trichterbrust (Brustbein wölbt sich nach innen wie ein Trichter) mit einer Metallschiene im Kindesalter zu korrigieren.;
Was ist eine Oberlippenbremse?;Ein Holzstock mit einer Seilschlaufe der vom Tierarzt bei einer Pferdebehandlung eingesetzt wird. Die Schlinge wird auf die Oberlippe des Pferdes gesetzt und zugedreht. Der Druck auf die Oberlippe löst den Ausstoß beruhigender Stoffe im Gehirn des Pferdes aus. Die Schmerzempfindlichkeit des Pferdes sinkt und der Tierarzt beginnt mit der Behandlung.;
Was ist eine Ofensau?;Bei einem Hochofen: unterhalb der Linie an der das Roheisen abgelassen wird- sammeln sich Roheisenreste- dieser Dreck heißt Ofensau.;
Was ist eine Ohrmutter?;Ein Bestandteil (Rückteil) von Ohrsteckern.;
Was ist eine Ölkuh?;Eine Holzpresse für Kürbisse. (Früher wurde damit Kürbeskernöl gewonnen. Das Öl rinnt dabei durch kleine Öffnungen die an Kuhzitzen erinnern.);
Was ist eine Opferkamera?;Um spektakuläre Filmbilder für Actionszenen zu Erhalten wird eine Kamera verwendet die z.B. während einer Explosion zerstört werden kann, aber bis dahin Bilder an einen externen Monitor bzw. Recorder sendet. Die Kamera wird also „geopfert“ und heißt deshalb Opferkamera.;
Was ist eine Opferrippe?;Autos die eine Ölwanne aus Kunststoff (statt aus Blech) haben brauchen Opferrippen. Der Kunststoff hat den Vorteil, dass die Wanne nicht rostet, dafür ist sie anfälliger für Beschädigungen durch von unten auftreffenden Steinen. Deshalb ist die gesamte Unterseite der Kunststoffölwanne durch rippenförmige Stäbe verstärkt die sich – um die eigentliche Wanne zu schützen – quasi opfern, indem sie zuerst beschädigt werden.;
Was ist eine Opferwurst?;Eine Wurst die vor den anderen ins kochende Wasser gegeben wird, bis sie platzt, damit ihre Inhaltsstoffe ins Brühwasser kommen. In diesem Brühwasser der (geopferten) Wurst werden dann erst die anderen gekocht.;
Was ist eine Organleihe?;Im juristischen Sinne ist ein Bürgermeister ein Organ. Organ ist griechisch und heißt „Werkzeug“. Der Bürgermeister ist also ein Werkzeug der Gemeinde. Wenn ein Bürgermeister vorübergehend oder auf Dauer Verwaltungsaufgaben für den übergeordneten Kreis übernimmt, „leiht“ der Kreis den Bürgermeister. Das ist dann eine Organleihe.;
